1,1997,3,2,18,29,42.6,37.99,47.89,10,5,4.8,5.3,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
2,1997,2,28,12,57,21,38.11,48.07,9,5.5,6.1,6.1,19,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
3,1998,7,9,14,19,20.29,38.73,48.53,27,5.8,5.5,6,17,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
4,2003,8,11,20,12,9.7,38.74,44.81,21.8,4.7,4,5.3,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
5,2004,9,5,17,33,58,38.37,45.2,43,3.9,3.9,4.4,5,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
6,2007,7,11,6,51,12,38.71,48.66,25,5.3,5.3,5.3,11,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
7,2007,9,16,5,19,58.6,38.12,46.37,18.3,4.1,4.1,4.1,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
8,2008,9,2,20,0,49.4,38.68,45.82,6.3,5,4.9,4.9,5,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
9,2012,8,11,12,23,16,38.31,46.8,15,6.2,6.7,6.5,31,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
10,2012,8,11,12,30,12,38.45,46.7,15,5,4.7,4.7,5,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
11,2012,8,11,12,34,34,38.35,46.78,19.2,6.3,6.3,6.4,38,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
12,2012,8,11,15,21,14,38.46,46.73,15,4.5,4.5,4.5,4,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
13,2012,8,11,15,43,19,38.4,46.79,15,4.8,4.8,4.8,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
14,2012,8,11,22,24,2,38.47,46.76,27.4,5.1,4.9,5.2,6,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
15,2012,8,13,1,56,10,38.49,46.71,15,4.5,4.5,4.5,3,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
16,2012,8,14,14,2,25,38.38,46.76,15,5.5,5.5,5.5,10,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
17,2012,8,15,17,49,4,38.35,46.61,13.2,5.3,5.1,5,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
18,2012,8,16,17,14,12,38.36,46.7,25.2,4.9,4.6,4.8,3,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
19,2012,9,27,0,56,0,38.39,46.58,15,4.8,4.8,4.8,3,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
20,2012,11,7,6,26,31,38.45,46.52,12,5.5,5.5,5.6,5,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
21,1998,11,18,11,37,20,39.49,44.18,22.6,4.8,4.2,4.2,7,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
22,2003,6,5,17,14,1,38.5,45.16,9.8,,,3.8,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
23,2002,6,20,13,54,50,38.4,45.25,10,4,,4,3,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
24,2007,12,1,18,22,17,38.15,46.41,5,,,4.2,11,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
25,2007,12,1,18,45,11,38.13,46.43,7.4,,,4.8,8,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
26,2012,10,8,8,25,54,38.4,46.55,4,,,4.4,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
27,2012,8,19,1,58,29,38.36,46.61,4,,,4.2,6,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
28,2012,8,29,11,46,27,38.37,46.63,5.9,,,4,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
29,2012,8,11,13,14,5,38.4,46.65,8.6,,,4.4,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
30,2012,8,26,9,43,21,38.37,46.66,8,,,4.3,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
31,2012,9,22,4,50,35,38.35,46.66,4,,,4.5,5,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
32,2012,8,22,5,28,34,38.37,46.69,4,,,4,7,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
33,2012,8,31,8,34,3,38.36,46.69,11.9,,,4.1,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
34,2012,9,5,9,33,45,38.34,46.7,6.5,,,4.3,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
35,2012,9,17,7,5,47,38.41,46.7,4,,,4.7,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
36,2012,8,11,12,44,38,38.45,46.71,6.7,,,4,3,0.5,0,10,600,,,,,,,,,,,,,,,,,,,
37,2012,9,2,8,50,11,38.35,46.75,4,,,4.4,8,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
38,2012,8,11,19,52,43,38.4,46.76,4,,,4.6,6,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
39,2012,8,11,12,49,14,38.42,46.8,4.5,,,4.9,8,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
40,2012,10,26,22,31,16,38.26,46.81,10,,,4.5,4,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
41,2012,10,16,4,15,30,38.34,46.9,5.4,,,4.4,3,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
42,2004,5,28,12,38,46,51.56,36.3,17,,,6.3,5,0.1,0,10,600,,,,,,,,,,,,,,,,,,,
